00:01	0
02:01	0
03:39	1
04:19	2
04:34	1
04:49	1
05:04	2
05:19	3
05:29	1
05:39	2
05:51	3
05:57	1
06:04	2
06:11	2
06:19	3
06:26	2
06:34	2
06:41	2
06:51	2
06:58	2
07:07	3
07:14	2
07:19	2
07:28	2
07:34	2
07:42	1
07:49	2
07:56	1
08:02	2
08:09	3
08:19	2
08:30	2
08:42	2
08:49	1
08:59	2
09:09	1
09:19	2
09:29	1
09:39	2
09:49	1
09:59	2
10:09	1
10:20	2
10:29	1
10:39	2
10:49	1
10:59	2
11:09	1
11:19	3
11:29	1
11:39	2
11:49	1
11:59	2
12:09	1
12:19	2
12:29	1
12:39	2
12:49	1
12:59	2
13:09	1
13:19	2
13:29	1
13:39	2
13:49	1
13:59	2
14:09	1
14:19	3
14:26	1
14:34	2
14:41	1
14:49	2
14:56	1
15:04	2
15:09	1
15:19	3
15:26	2
15:34	2
15:41	1
15:49	2
15:56	1
16:05	2
16:11	1
16:19	2
16:26	1
16:34	2
16:41	1
16:49	2
16:57	1
17:06	2
17:19	2
17:29	1
17:39	2
17:49	1
17:59	2
18:09	1
18:19	2
18:29	1
18:39	2
18:49	1
18:59	2
19:19	2
19:34	1
19:49	2
20:04	1
20:19	2
20:34	1
20:49	2
21:04	1
21:19	2
21:49	2
22:24	2
23:02	2
23:29	0
